,Airline,FlightNo,Type,Orig,Dest,Alt,Lat,Lon,Track,Timestamp,ETA,Distance
0,DAL,DL2026,B739,EWR,SLC,"6,250 ft",40.60281,-74.39124,341,2025-06-22T23:08:17Z,2025-06-23T03:33:20Z,6.7 mi
1,DAL,DL964,A321,LGA,ATL,"13,400 ft",40.74825,-74.51901,244,2025-06-22T23:08:16Z,2025-06-23T00:51:12Z,7.1 mi
2,UAL,UA68,B752,EWR,ARN,"3,525 ft",40.64141,-74.25079,336,2025-06-22T23:08:17Z,,8.9 mi
3,UAL,UA3713,E75L,RIC,EWR,"5,000 ft",40.73032,-74.62476,32,2025-06-22T23:08:17Z,2025-06-22T23:13:48Z,12.0 mi
4,BAW,BA229,B772,LHR,BWI,"29,600 ft",40.85303,-74.29748,231,2025-06-22T23:08:17Z,2025-06-22T23:38:52Z,12.1 mi
5,RPA,LH403,B748,EWR,FRA,"6,375 ft",40.80252,-74.16976,63,2025-06-22T23:08:17Z,2025-06-23T07:22:26Z,14.2 mi
6,DAL,DL2705,BCS1,LGA,BNA,"11,500 ft",40.92435,-74.2461,258,2025-06-22T23:08:16Z,2025-06-23T00:55:28Z,17.7 mi
7,DAL,DL5030,CRJ9,LGA,CVG,"9,625 ft",40.863,-74.12731,256,2025-06-22T23:08:17Z,2025-06-23T00:38:24Z,18.4 mi
8,DAL,DL5621,E170,HHH,LGA,"6,775 ft",40.50152,-74.15834,37,2025-06-22T23:08:17Z,2025-06-22T23:15:30Z,18.8 mi
9,UAL,AA4479,E170,STL,LGA,"7,925 ft",40.43513,-74.28998,42,2025-06-22T23:08:17Z,2025-06-22T23:15:48Z,19.2 mi
10,ETH,ET514,B789,LFW,EWR,"2,925 ft",40.8636,-74.10608,136,2025-06-22T23:08:17Z,2025-06-22T23:12:03Z,19.3 mi
11,UAL,UA3599,E75L,DTW,EWR,"3,875 ft",40.93886,-74.20441,100,2025-06-22T23:08:17Z,2025-06-22T23:12:42Z,19.7 mi
12,AAL,AA4471,E75L,PBI,LGA,"3,950 ft",40.62135,-74.03925,38,2025-06-22T23:08:17Z,2025-06-22T23:11:49Z,19.8 mi
13,EJA,EJA523,C68A,IAD,,"4,675 ft",40.60663,-74.76596,33,2025-06-22T23:08:17Z,,20.2 mi
14,VJA,VJA302,CL30,TEB,VRB,"16,150 ft",40.42992,-74.22763,156,2025-06-22T23:08:16Z,2025-06-23T01:14:09Z,20.8 mi
